ncsClCd,KECO,name
16020002,284.0,생산·품질 사무원
16020002,1521.0,금속·재료공학 기술자 및 연구원
16020002,1522.0,금속·재료공학 시험원
16020301,1522.0,금속·재료공학 시험원
16020301,8262.0,점토제품 생산기계 조작원
16020301,8263.0,시멘트·광물제품 생산기계 조작원
16020302,8262.0,점토제품 생산기계 조작원
16020303,8262.0,점토제품 생산기계 조작원
16020303,8263.0,시멘트·광물제품 생산기계 조작원
16020304,8262.0,점토제품 생산기계 조작원
16020304,8263.0,시멘트·광물제품 생산기계 조작원
16020305,8262.0,점토제품 생산기계 조작원
16020401,8261.0,유리·유리제품 생산기계 조작원
16020402,8261.0,유리·유리제품 생산기계 조작원
16020403,8261.0,유리·유리제품 생산기계 조작원
16020404,8261.0,유리·유리제품 생산기계 조작원
16020501,1521.0,금속·재료공학 기술자 및 연구원
16020501,1522.0,금속·재료공학 시험원
16020501,8269.0,기타 비금속제품 생산기계 조작원
16020502,1521.0,금속·재료공학 기술자 및 연구원
16020502,1522.0,금속·재료공학 시험원
17010101,1541.0,화학공학 기술자 및 연구원
17010101,1542.0,화학공학 시험원
17010102,1541.0,화학공학 기술자 및 연구원
17010102,1542.0,화학공학 시험원
17010103,1541.0,화학공학 기술자 및 연구원
17010103,1584.0,산업 안전원 및 위험 관리원
17010104,284.0,생산·품질 사무원
17010104,1541.0,화학공학 기술자 및 연구원
17010104,1542.0,화학공학 시험원
17010201,1541.0,화학공학 기술자 및 연구원
17010202,1541.0,화학공학 기술자 및 연구원
17010203,1541.0,화학공학 기술자 및 연구원
17010301,1541.0,화학공학 기술자 및 연구원
17010302,1541.0,화학공학 기술자 및 연구원
17010303,1541.0,화학공학 기술자 및 연구원
17020001,8511.0,석유·천연가스 제조 제어장치 조작원
17020001,8512.0,화학물 가공장치 조작원
17020101,1541.0,화학공학 기술자 및 연구원
17020101,8511.0,석유·천연가스 제조 제어장치 조작원
17020201,1541.0,화학공학 기술자 및 연구원
17020201,8512.0,화학물 가공장치 조작원
17020202,1541.0,화학공학 기술자 및 연구원
17020202,8512.0,화학물 가공장치 조작원
17020203,1541.0,화학공학 기술자 및 연구원
17020203,8512.0,화학물 가공장치 조작원
17020204,1541.0,화학공학 기술자 및 연구원
17020204,8512.0,화학물 가공장치 조작원
17020205,1541.0,화학공학 기술자 및 연구원
17020205,8512.0,화학물 가공장치 조작원
17020206,1541.0,화학공학 기술자 및 연구원
17020206,8512.0,화학물 가공장치 조작원
17020302,1541.0,화학공학 기술자 및 연구원
17020302,8512.0,화학물 가공장치 조작원
17030001,1541.0,화학공학 기술자 및 연구원
17030001,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030102,1541.0,화학공학 기술자 및 연구원
17030102,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030104,1541.0,화학공학 기술자 및 연구원
17030104,8512.0,화학물 가공장치 조작원
17030104,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030201,1541.0,화학공학 기술자 및 연구원
17030201,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030202,1541.0,화학공학 기술자 및 연구원
17030202,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030203,1541.0,화학공학 기술자 및 연구원
17030203,8523.0,화학제품 생산기계 조작원 (고무·플라스틱 제외)
17030204,1541.0,화학공학 기술자 및 연구원
