소관 부처,자격종목,등급,자격관리자,공인유효기간(시작),공인유효기간(만료),기공인기간(시작),기공인기간(만료)
고용노동부,전산세무회계,"전산세무1급, 전산세무2급, 전산회계1급, 전산회계2급",한국세무사회,2022-01-01,2026-12-31,2002-01-17,2021-12-31
국토교통부,자동차진단평가사,"1급, 2급",(사)한국자동차진단보증협회,2022-11-24,2025-11-23,2010-11-24,2022-11-23
국토교통부,주거복지사,단일등급,(사)한국주거학회,2022-01-01,2024-12-31,2016-01-01,2021-12-31
국토교통부,실내디자이너,등급없음,한국실내건축가협회,2023-01-01,2025-12-31,2017-01-01,2022-12-31
국토교통부,보상관리사,등급없음,(사)한국토지보상관리사협회,2023-01-01,2027-12-31,,
관세청,원산지관리사,등급없음,한국원산지정보원,2022-01-01,2024-12-31,2013-01-01,2021-12-31
경찰청,열쇠관리사,"1급, 2급",(사)한국열쇠협회,2023-01-03,2026-01-02,2005-01-03,2023-01-02
경찰청,도로교통사고감정사,등급없음,도로교통공단,2024-04-06,2027-04-05,2007-04-06,2024-04-05
경찰청,신변보호사,단일등급,(사)한국경비협회,2021-01-01,2025-12-31,2013-01-01,2020-12-31
산림청,수목보호기술자격,기술자,(사)한국수목보호협회,2020-01-15,2025-01-14,2001-04-01,2020-01-14
산림청,분재관리사,"전문관리사, 1급, 2급",(사)한국분재조합,2024-02-01,2029-01-31,2002-02-01,2024-01-31
산림청,조경수조성관리사,"2급, 3급",(사)한국조경수협회,2020-11-16,2025-11-15,2010-11-16,2020-11-15
특허청,지식재산능력시험,"1급, 2급, 3급, 4급",한국발명진흥회,2023-01-01,2027-12-31,2018-01-01,2022-12-31
